course, description, section, crn, slot, daysOfWeek, startTime, endTime, location
ENGL1020,Writing Second Lang Stdnts ,003,98733,99,LECRYYYN,0003,0003,Primary-,
ENGL1021,Writing Second Lang Stud II ,001,67380,13,MW,1400,1515,ED2002,
ENGL1090,CRW: Telling Stories ,001,96486,23,TR,1230,1345,A3020,
ENGL1090,CRW: Telling Stories ,002,96489,19,TR,1400,1515,A3017,
ENGL1090,CRW: Telling Stories ,003,96492,3,MWF,1000,1050,A3020,
ENGL1090,CRW: Telling Stories ,004,96495,4,MWF,1100,1150,A3017,
ENGL1090,CRW: Telling Stories ,005,20800,17,TR,0900,1015,ED1005,
ENGL1090,CRW: Telling Stories ,006,20802,18,TR,1030,1145,ED1005,
ENGL1090,CRW: Telling Stories ,056,99879,G26,TR,1730,1845,A3017,
ENGL1110,Crtcl Rdng & Wrtng in Rheto ,001,96508,5,MWF,1200,1250,A3017,
ENGL1110,Crtcl Rdng & Wrtng in Rheto ,002,96518,7,MWF,1400,1450,ED4034,
ENGL1110,Crtcl Rdng & Wrtng in Rheto ,004,96532,12,MW,1230,1345,C4011,
ENGL1110,Crtcl Rdng & Wrtng in Rheto ,005,96534,18,TR,1030,1145,A3017,
ENGL1110,Crtcl Rdng & Wrtng in Rheto ,006,96538,20,TR,1530,1645,A3020,
ENGL1110,Crtcl Rdng & Wrtng in Rheto ,007,96546,8,MWF,1500,1550,A3017,
ENGL1110,Crtcl Rdng & Wrtng in Rheto ,056,99895,G26,TR,1730,1845,A3020,
ENGL1110,Crtcl Rdng & Wrtng in Rheto ,057,96564,G25,MW,1730,1845,A3017,
ENGL1191,CRW: Self and Society ,001,99897,4,MWF,1100,1150,SN3060,
ENGL1191,CRW: Self and Society ,002,99899,5,MWF,1200,1250,A3020,
ENGL1192,CRW: Imagined Places ,001,96490,5,MWF,1200,1250,ED2003,
ENGL1192,CRW: Imagined Places ,002,96493,8,MWF,1500,1550,A3020,
ENGL1192,CRW: Imagined Places ,003,96500,3,MWF,1000,1050,A3017,
ENGL1192,CRW: Imagined Places ,004,96503,18,TR,1030,1145,C3053,
ENGL1192,CRW: Imagined Places ,005,96506,4,MWF,1100,1150,A3020,
ENGL2000,Major Writers To 1800,001,96523,19,TR,1400,1515,SN4063,
ENGL2000,Major Writers To 1800,002,20733,17,TR,0900,1015,ED4034,
ENGL2001,Major Writers From 1800,001,96738,7,MWF,1400,1450,SN4063,
ENGL2004,Short Fiction ,001,99884,3,MWF,1000,1050,ED4008,
ENGL2004,Short Fiction ,002,99886,4,MWF,1100,1150,ED4008,
ENGL2122,Intro to World Lit in Engli ,001,99888,18,TR,1030,1145,SN3060,
ENGL2218,American Lit since 1945,001,99893,2,MWF,0900,0950,SN2036,
ENGL2390,Intro Mod Engl Structure ,001,97630,19,TR,1400,1515,SN2067,
ENGL2600,Intro Middle English ,001,97632,11,MW,1030,1145,SN4063,
ENGL2850,What is Film? ,001,86590,7,MWF,1400,1450,A3017,
ENGL2870,Children's Literature ,001,81136,23,TR,1230,1345,SN3042,
ENGL2905,Intro to Creative Writing ,056,96725,30,M,1900,2130,SN3060,
ENGL3006,Mediev/Early Mod Women Writ ,001,99901,18,TR,1030,1145,C4011,
ENGL3021,Medieval and Tudor Drama ,001,99903,12,MW,1230,1345,ED2002,
ENGL3156,Modern Canadian Drama ,001,97638,18,TR,1030,1145,A1045,
ENGL3159,Cont. Afri-Can. Lit ,001,99905,5,MWF,1200,1250,ED4011,
ENGL3200,Shakespeare ,001,96535,17,TR,0900,1015,A3020,
ENGL3819,The Gothic ,001,99907,7,MWF,1400,1450,SN2067,
ENGL3843,Introduction to Comics ,001,96542,3,MWF,1000,1050,SN2064,
ENGL3846,Special Topics ,056,99909,31,T,1900,2130,A3033,
ENGL3906,Intro Creative Wrtng:Oral S ,001,99910,0,R,1300,1530,C4002,
ENGL4101,Critical Theory II ,001,88998,7,MWF,1400,1450,A3018,
ENGL4272,Tpcs Contemporary Amer Lit ,001,99912,4,MWF,1100,1150,A3018,
ENGL4400,Directing ,056,96555,G36,MW,2030,2145,A3017,
ENGL4822,Cdn Lit: Making it New ,001,20641,3,MWF,1000,1050,A3018,
ENGL4900,Book History & Print Cultur ,001,99916,19,TR,1400,1515,A3018,
ENGL4910,Adv Creative Writing:Fictio ,056,99918,32,W,1900,2130,A3033,
LING1100,Intro to Linguistics ,001,66840,5,MWF,1200,1250,SN2098,
LING1103,Intro Ling Analysis: Syntax ,001,67583,4,MWF,1100,1150,SN2098,
LING1104,Intro Ling Analysis: Phonol ,001,67584,3,MWF,1000,1050,ED3030,
LING3104,Phonetics ,001,99714,6,MTR,1300,1350,C3053,
LING3951,Lang Endgrmnt & Revitalizat ,001,99716,17,TR,0900,1015,SN3060,
LING4100,Morphosyntactic Analysis ,001,99712,7,MWF,1400,1450,C2033,
